r,g,b,RGB,Spanish,EN_ES,Russian,EN_RU,German,EN_DE,French,EN_FR,Chinese,EN_ZH,Italian,EN_IT,Korean,EN_KO,Japanese,EN_JA,name,short_name,med_name,cx,cy
105,5,4,10554,vino,Wine,бордо,Wine,Braun,Brown,bordeaux,Burgundy,棕色,Brown,rosso,Red,빨간색,Red,ワイン色,Burgundy,Dark Red Lipstick,Brown,Deep Burgendy,393.0142886,292.9245799
10,60,5,10605,verde oscuro,Dark Green,зеленый,Green,grasgrün,Grass Green,vert,Green,墨绿色,Dark Green,verde scuro,Dark Green,녹색,Green,みどり,Green,Deep Forest Green,Sage,Dark Green,298.4333324,317.2903815
1,33,97,13397,color azul oscuro,Dark Blue,синий,Blue,Dunkelblau,Dark Blue,bleu foncé,Dark Blue,深蓝色,Navy Blue,celo,Blue,파랑,Blue,藍,Indigo,Royal Navy Blue,Navy,Darken Blue,262.3200652,247.5201817
13,59,2,13592,verde olivo oscuro,Dark Olive Green,темно-зеленый,Dark Green,schwarzgrün,Black Green,vert bouteille,Bottle Green,绿色,Green,verde,Green,녹색,Green,緑,Green,Dark Forest Green,Green,Forest Green,305.0572304,310.4151841
141,0,2,14102,rojo vino,Red Wine,красно-коричневый,Red-Brown,rot,Red,rouge,Red,暗红色,Dark Red,marrone,Red,벽돌색,Brick,濃い赤,Deep red,Deep Burnt Orange,Red,Old Barn Red,431.8765807,274.7169818
1,4,143,14143,azul de prusia,Prussian Blue,темно синий,Dark Blue,dunkelblau,Dark Blue,bleu,Blue,藍,Blue,blu scuro,Dark Blue,파랑,Blue,暗い青,Dark blue,Dark Blue Purple,Blue,Royal Blue,265.1164747,205.6602693
0,141,69,14169,verde musgo claro,Clear Moss Green,зеленый,Green,grün,Green,vert foncé,Dark Green:,綠色,Green,verde,Green,녹색,Green,暗い緑,Dark green,Dark Spring Green,Green,Forest Moss,249.1274048,325.3866445
1,51,20,15120,verde pino,Pine Green,тёмно зелёный,Dark Green,dunkelgrün,Dark Green,vert foncé,Dark Green:,绿色,Green,verde,Green,녹색,Green,暗いみどり,Dark green,Midnight Green,Dark Green,Dark Green,293.8418776,289.1885914
16,0,84,16084,AZUL,Blue,Синий,Blue,blau,Blue,bleu,Blue,蓝色,Blue,nero,Blue,곤색,Navy,こいあお,Dark Blue,Dark Royal Blue,Gator Blue,Gator Blue,294.6992243,244.4509845
16,82,8,16828,pasto fresco,Fresh Grass,темно-зеленый,Dark Green,dinkelgrün,Spelled Green,vert foncé,Dark Green:,苔色,Moss Color,Smeraldo scuro,Grass Green,매우어두운녹색,Very dark green,緑,Green,Bright Olive Green,Dark Green,Dark Green,293.6824572,327.9778009
1,69,79,16979,Azul Petroleo,Blue Oil,темно-зеленый,Dark Green,dunkelblau,Dark Blue,Bleu de Berlin,Berlin Blue,孔雀蓝色,Peacock Blue,grigio verde antracite,Anthracite Gray Green,어두운 청록색,Dark blue-green,ダークブルー,Dark Blue,Dull Dark Green,Blue,Midnight Blue,267.6727589,272.0799969
17,56,4,17564,verde oscuro,Dark Green,зеленый,Green,dunkelgrün,Dark Green,vert,Green,军绿色,Army Green,verde scuro,Green,초록색,Green,黒緑,Blackish green,Sherwood Green,Dark Green,Dark Green,330.0254204,297.1000421
20,66,9,20669,verde,Green,Зелёный,Green,dunkel grün,Dark Green,vert,Green,深黄绿色,Dark Yellow Green,verde,Green,어두운초록,Dark green,緑色,Green,Sherwood Forest Green,Green,Dark Green,294.615719,321.7982101
20,9,93,20993,color azul oscuro,Dark Blue,темно-синий,Dark Blue,dunkelblau,Dark Blue,bleu marine,Navy Blue,蓝色,Blue,blu,Blue,푸른색,Blue,濃い青,Dark Blue,Dark Royal Blue,Navy,Midnight Blue,289.9023254,224.326416
2,112,3,21123,verde,Green,зелёный,Green,grün,Green,vert,Green,綠色,Green,verde,Green,초록색,Green,緑,Green,St. Patrick'S Day Green,Green,Forest Green,269.0833492,330.719514
2,22,69,22269,azul,Blue,Синий,Blue,schwarz-blau,Black And Blue,bleu,Blue,蓝色,Blue,blu,Blue,청색,Blue,非常にダークブルー,Very dark blue,Dark Navy Blue,Navy Blue,Navy Blue,281.5951991,268.6034027
0,223,38,22338,Verde,Green,зеленый,Green,grün,Green,vert,Green,亮綠色,Bright Green,ocra verde chiaro,Ocher Light Green,초록색,Green,緑,Green,Bright Neon Green,Green,Bright Green,203.1434037,425.5276052
0,25,244,25244,azul,Blue,синий,Blue,königsblau,Royal Blue,bleu,Blue,藍色,Blue,blu,Blue,진한파란색,Dark blue,ブルー,Blue,Dark Bright Blue,Blue,Electric Blue,185.2837969,115.3888375
0,254,45,25445,verde,Green,ярко-салатовый,Bright Green,Grün,Green,vert,Green,绿色,Green,verde acceso fosforescente,Green,녹색,Green,みどり,Green,Highlighter Green,Green,Bright Green,166.6910029,480.6895841
27,2,39,27239,negro fuerte,Strong Black,Чёрный,Black,schwarz,Black,bleu nuit,Midnight Blue,黑,Black,nero,Black,검은색,Black,ミッドナイトブルー,Midnight blue,Charcoal Black,Midnight,Dark Purple,308.0626667,275.0362201
2,74,64,27464,verde oscuro,Dark Green,Зелёный,Green,förstergrün,Green Ranger,vert,Green,军绿色,Army Green,nero,Green,녹색,Green,深い緑,Dark green,Dark Sea Foam Green,Teal,Blue Green,266.8604814,289.3841537
0,28,200,28200,azul,Blue,синий,Blue,kräftiges blau,Strong Blue,BLEU,Blue,深蓝色,Navy Blue,blu,Blue,파랑색,Blue,青は非常に子供の頃,Blue is very childhood,Bright Royal Blue,Navy,Indigo Blue,235.5639957,163.1593903
29,1,96,29196,azul,Blue,темно-синий,Dark Blue,dunkelblau,Dark Blue,bleu nuit,Midnight Blue,深藍色,Navy Blue,nero,Blue,파랑색,Blue,藍,Indigo,Dark Violet Blue,Blue,Simple Purple,296.5172725,220.3358191
33,68,2,33682,verde aceituna,Olive Green,зелёный папоротник,Green Fern,Grün,Green,vert,Green,深绿,Dark Green,vered,Vered,진한녹색,Dark green,深緑,Dark green,Dark Olive Green,Forrest Green,Forrest Green,305.0004522,300.6614575
3,37,13,33713,VERDE OSCURO,Dark Green,темно-зеленый,Dark Green,dunkel grün,Dark Green,vert,Green,黑色,Black,verde scuro,Dark,검은색,Black,黒,Black,Shaded Moss Green,Dark Evergreen,Dark Evergreen,315.8540817,286.104875
35,2,25,35225,CAFE INTENSO,Strong Coffee,яркий черный,Bright Black,Schwarz,Black,violet foncet,Purple Lock Cover,黑色,Black,nero,Black,검정색,Black,黒,Black,Dark Blackish Purple,Plum,Black,319.3773843,291.1113518
3,53,76,35376,azul obscuro,Dark Blue,темное ночное небо,The Dark Night Sky,dunkelblau,Dark Blue,bleu,Blue,深蓝色,Dark Blue,blu scuro,Dark Blue,진한파란색,Dark blue,紺,Navy blue,Dark Teal Green,Blue,Dark Blue,275.1831943,270.1679967
3,57,58,35758,verde monte,Green Mount,темно зеленый,Dark Green,dunkelgrün,Dark Green,bleu noir,Blue Black,深綠色,Dark Green,blu scuro,Blue,어두운청록,Dark green,みどり,Green,Dark Jade Green,Pine Green,Pine Green,303.5073078,282.3219961
3,79,32,37932,verde sucio oscuro,Dark Dirty Green,темно зеленый,Dark Green,dunkelgrün,Dark Green,vert bouteille,Bottle Green,绿色,Green,Verde primavera scuro,Dark Green Spring,짙은녹색,Dark green,ダークグリーン,Dark Green,Christmas Green,Dark Green,Hunter Green,269.5769795,303.986671
3,81,88,38188,AZUL PETROLEO,Oil Blue,сине-зеленый,Blue-Green,blau,Blue,bleu petrole,Blue Oil,深蓝色,Navy Blue,verdone chiaro,Green,짙은 하늘색,Dark blue,マリンブルー,Marine blue,Rainforest Green,Dark Blue,Dark Teal,253.3009386,280.7685331
3,83,35,38335,verde abscuro,Green Abscuro,темно-зеленый,Dark Green,Grün,Green,vert,Green,深綠色,Dark Green,verde,Green,녹색,Green,こいみどり,Green Shoi,Hunters Green Camo,Hunter Green,Hunter Green,264.1325083,302.1669079
39,98,0,39980,verde oscuro,Dark Green,темно-зеленый,Dark Green,Dunkles Olivgrün,Dark Olive Green,vert,Green,草绿色,Grass Green,verde,Dark Green,진녹색,Dark green,緑,Green,Light Hunter Green,Green,Grassy Green,280.9696843,327.5896922
4,196,7,41967,verde,Green,зеленый,Green,grün,Green,vert,Green,綠色,Green,verde,Green,녹색,Green,緑,Green,Dark Pastel Green,Lime,Scream Green,250.5691127,409.025386
42,3,13,42313,negro,Black,коричневый,Brown,dunkelbraun,Dark Brown,marron foncé,Dark Brown,茶褐色,Dark Brown,marone,Brown,초콜릿색,Chocolate,暗茶色,Dark brown,Chocolate Brown,Chocolate,Chocolate,341.0938326,295.3343391
43,6,23,43623,color negro,Color Black,Чёрный,Black,dunkelbraun,Dark Brown,noir,Black,茄子绀,Eggplant Purple,nero,Black,검정,Black,暗い紫,Dark purple,Dark Maroonish Purple,Black,Black,331.2224747,283.9193593
44,91,2,44912,verde árbol de navidad,Green Christmas Tree,лист дуба,Oak Leaf,waldgrün,Forest Green,vert,Green,绿,Green,j,Green,녹색,Green,濃い緑,Dark green,Dark Spruce Green,Olive,Scott Green,274.1525868,298.6452917
4,5,133,45133,azulino,Bluish,Кобальт синий,Cobalt Blue,blau,Blue,bleu,Blue,深藍色,Navy Blue,blu,Blue,진한파랑,Dark blue,暗い青,Dark blue,True Royal Blue,Blue,Royal Blue,272.5869827,208.6301049
46,34,5,46345,cafe,Coffee,темно-коричневый,Umber,grauschwarz,Gray Black,noir aniline,Aniline Black,褐色,Brown,Nero,Black,어두운 갈색,Dark brown,茶色,Brown,Moonless Night,Walnut,Dark Brown,304.5442996,238.2207519
4,70,14,47014,verde,Green,темно-зеленый,Dark Green,dunkelgrün,Dark Green,vert,Green,军绿色,Army Green,Verde notte,Green,녹색,Green,緑,Green,Robin Hood Green,Green,Pine Green,282.0061174,315.6762765
4,93,28,49328,verde oscuro,Dark Green,темно зеленый,Dark Green,Dunkelgrün,Dark Green,vert,Green,深綠色,Dark Green,verde,Green,초록색,Green,緑色,Green,Perfectly Green,Green,Emerald Green,268.5899538,324.2586189
49,4,60,49460,negro tormentoso,Stormy Black,Чёрный,Black,lila,Purple,ultra-violets,Ultraviolet,靛色,Indigo,viola,Violet,보라색,Purple,暗紫色,Purple-black,Royal King Purple,Black,Durklepurple,328.2168716,261.2309677
5,11,51,51151,azul marino oscuro,Dark Navy,темно-фиолетовый,Plum,tiefdunkles blau,Deep Dark Blue,bleu marine,Navy Blue,深藍色,Navy Blue,blu,Blue,푸른색,Blue,ダークブルー,Dark Blue,Deep Dark Blue,Blue,Pinstripe Blue,313.6711033,276.5442241
51,52,6,51526,verde fuerte,Strong Green,черный,Sable,baumgrün,Green Tree,vert foncé,Dark Green,军绿色,Army Green,H,Dark Brown,녹색,Green,暗いみどり,Dark green,Not Quite Black,Forst Green,Forst Green,310.0459018,304.4972192
5,155,0,51550,verde fuerte,Strong Green,зеленый,Green,grün,Green,vert,Green,绿色,Green,verde,Green,녹색,Green,ブライトグリーン,Bright Green,Green Of Nature,Green,Grass Green,267.8444413,373.8006232
51,78,2,51782,verde,Green,темно-зеленый,Dark Green,grün,Green,vert foncé,Dark Green:,军绿色,Army Green,verde,Green,녹색,Green,緑,Green,Deep Jungle Green,Moss,Olive Green,312.6934442,309.7760024
52,33,4,52334,cafe,Coffee,черно-коричневый,Black-Brown,Schwarz,Black,marron,Brown,深棕色,Dark Brown,antracite scuro,Iron Color,어두운 갈색,Dark brown,茶,Brown,Chocolate Brown,Dirt,Black Brown,326.7505264,272.3813662
52,97,5,52975,verde soldado,Green Soldier,темно-зеленый,Dark Green,tannen grün,Fir Green,vert,Green,綠色,Green,verde,Green,진한녹색,Dark green,グリーン,Green,Deep Sage Green,Green,Forest Green,300.4081082,327.841824
5,46,93,54693,azul oscuro,Dark Blue,синий,Blue,rembrand blau,Rembrandt Blue,Bleu foncé,Dark Blue,碧蓝,Blue,blu di prussia,Blue,곤색,Navy,紺,Navy blue,Patriotic Blue,Blue,Dark Blue,255.344998,252.9068441
0,56,187,56187,azul,Blue,Синий,Blue,blau,Blue,bleu,Blue,青色,Blue,blu,Blue,파랑,Blue,あお,Blue,Dark Ocean Blue,Blue,Sky Blue,204.1798688,181.4236457
56,32,1,56321,cafe,Coffee,тёмно-коричневый,Umber,dunkelbraun,Dark Brown,marron,Brown,棕色,Brown,nero,Brown,갈색,Brown,茶色,Brown,Deep Chocolate,Espresso,Chocolate,347.1461468,292.4895917
5,68,23,56823,Verde oscuro,Dark Green,темо-зеленый,Temo Green,grün,Green,vert,Green,绿色,Green,verde scuro,Dark Green,녹색,Green,緑,Green,Dark Dark Green,Darkened Green,Darkened Green,289.0737718,305.0646923
5,80,51,58051,verde oscuro,Dark Green,зеленый,Green,dunkel moosgrün,Dark Green Moss,vert foncé,Dark Green:,墨绿色,Dark Green,verde,Green,암록색,Dark green,みどり,Green,Medium Hunters Green,Green,Forest Green,264.7520827,310.087821
59,0,20,59020,Bordó oscuro,Dark Burgundy,темно-коричневый,Umber,Braun,Brown,rouge marron,Red Brown,黑,Black,testa di moro,Dark Brown,갈색,Brown,赤紫,Purplish red,Big Foot Brown,Brown,Brown,341.2209841,268.2099238
59,31,6,59316,cafe oscuro,Dark Brown,коричневый,Brown,signalbraun,Signal-Brown,marron,Brown,棕色,Brown,marrone,Brown,갈색,Brown,茶色,Brown,Chocolate Brown,Brown,Brown,340.9075019,276.9577908
59,49,1,59491,marron negroide,Brown Negroid,зеленовато-коричневый,Greenish-Brown,braun,Brown,brun,Brown,深橄榄,Dark Olive,marrone,Brown,갈색,Brown,茶色,Brown,Greenish Black,Greenish Brown,Greenish Brown,335.1312495,291.3290111
61,0,47,61047,MORADO,Purple,темно-сиреневый,Dark Purple,dunkelviolett,Dark Purple,violet,Purple,紫色,Purple,nero,Purple,어두운 자주색,Dark purple,紫,Purple,Blackcurrant Purple,Stanley Plum,Stanley Plum,336.5649305,272.0452546
61,16,5,61165,marron,Brown,бордовый,Vinous,Dunkelbraun,Dark Brown,marron,Brown,深啡色,Dark Brown,marrone,Brown,갈색,Brown,こげた赤茶,Burnt red tea,Chocolate Brown,Dark Brown,Dark Brown,347.9199694,285.8576448
6,13,67,61367,AZUL OSCURO,Dark Blue,тёмно-синий,Dark Blue,dunkelblau,Dark Blue,BLEU PROFOND,Deep Blue,深蓝,Deep Blue,blu scuro,Blue,군청색,Ultramarine,紺色,Deep blue,Super Dark Royal Blue,Dark Blue,Very Dark Blue,288.860805,272.4327874
6,137,2,61372,verde oscuro,Dark Green,зеленый,Green,dunkelgrün,Dark Green,vert,Green,綠色,Green,verde scuro,Dark Green,녹색,Green,緑,Green,Mr. Green Jeans,Green,Forest Green,253.8109616,353.2075262
6,32,39,63239,gris,Gray,тёмный цвета морской волны,Dark Navy Blue,anthrazit,Anthracite,noir,Black,黑色,Black,nero,Black,검은색,Black,黒い,Black,Deepest Graphite,Black,Black,296.82222,273.0849926
63,32,6,63326,color marrón oscuro,Dark Brown,темный орех,Dark Walnut,braun,Brown,marron,Brown,棕色,Brown,marrone scuro,Dark Brown,갈색,Brown,茶,Brown,Root Beer Brown,Brown,Black Brown,353.3645159,290.0822609
63,52,4,63524,marrón barroco,Baroque Brown,темнокоричневый,Dark Brown,dunkelbraun,Dark Brown,marron,Brown,深褐色,Dark Brown,verde,Green,갈색,Brown,ダークブラウン,Dark brown,Dark Hazel Brown,Brown,Brown,335.4347602,299.5209915
63,8,46,63846,MORADO,Purple,Черный,Black,dunkelrot,Dark,violet foncé,Dark Purple,紫色,Purple,marrone scuro,Dark Brown,보라색,Purple,暗い紅色,Dark purple,Twilight Lavendar,Plum,Dark Purple,346.178589,279.9999912
6,43,22,64322,verde oscuro,Dark Green,темно-зеленый,Dark Green,grün,Green,vert foncé,Dark Green:,绿色,Green,verde,Green,진한 초록색,Dark green,ダークグリーン,Dark Green,Dark Pine Green,Black,Dark Green,287.6761074,290.7143583
6,79,53,67953,verde musgo,Moss Green,Зелёный,Green,grün,Green,vert,Green,深綠,Dark Green,verde scuro,Lawn Green,녹색,Green,深みどり,Deep green,Pinetree Green,Green,Blue Green,259.4464654,297.8488867
68,9,60,68960,purpura,Purple,грязно-бордовый,Dirty Burgundy,violet,Violet,mauve,Mauve,藍紫色,Blue-Violet,violetto scuro,Violet,보라색,Purple,紫,Purple,Midnight Purple,Purple,Eggplant,338.4228164,258.9677613
7,0,153,70153,Azul Oscuro,Dark Blue,ярко-синий,Bright Blue,Blau,Blue,bleu,Blue,蓝色,Blue,blu,Blue,청색,Blue,青,Blue,Deep Ocean Blue,Blue,Uniform Blue,263.3765063,196.2902198
70,6,69,70669,morado,Purple,тёмно-фиолетовый,Plum,violett,Violet,violet foncé,Dark Purple,紫色,Purple,viola,Purple,어두운 보라색,Dark purple,紫,Purple,Halloween Purple,Mauve,Purely Purple,334.8925968,263.7599103
70,70,8,70708,verde,Green,оливковый,Olive,Kaki,Kaki,vert foncé,Dark Green:,墨綠色,Dark Green,verde,Green,갈색,Brown,暗緑色,Dark green,Dark Army Green,Dark Green,Jungle Green,330.5050147,305.4681503
70,7,44,70744,morado fuerte,Strong Purple,баклажановый,Aubergine,dunkelrot,Dark,marron violet,Brown Violet,紫色,Purple,amarro,Purple,갈색,Brown,深紫,Deep purple,Brownish Purple,Dark Purple,Dark Purple,353.4218736,274.5133999
72,39,5,72395,cafe,Coffee,коричневый,Brown,braun,Brown,marron,Brown,棕色,Brown,marrone,Brown,갈색,Brown,茶色,Brown,Chocolate Brown,Brown,Dark Brown,358.131694,284.0463715
7,26,76,72676,azul obscuro,Dark Blue,темно-синий,Dark Blue,königsblau,Royal Blue,BLEU PROFOND,Deep Blue,蓝色,Blue,blu,Blue,짙은 파란색,Dark blue,青,Blue,Night Time Blue,Blue,Midnight Blue,281.2112616,258.9966584
73,9,59,73959,morado oscuro,Purple,фиолетовый,Violet,violett,Violet,aubergine (violet aubergine ),Aubergine (Eggplant Purple),紫色,Purple,Viola susina matura,Purple Ripe Plum,자주색,Purple,深紫,Deep purple,Deep Purple Plum,Purple,Brown Purple,343.7152483,262.2074149
7,4,182,74182,azul,Blue,ярко-синий,Bright Blue,blau,Blue,bleu foncé,Dark Blue,藍色,Blue,blu,Blue-Violet,파란색,Blue,青,Blue,Deep Royal Blue,Blue,Dodger Blue,246.6348754,178.4398074
80,0,86,80086,violeta,Violet,Фиолетовый,Purple,dunkelviolett,Dark Purple,violet foncé,Dark Purple,紫色,Purple,violet,Violet,짙은 보라,Deep purple,ヴァイオレット,Violet,Popping Purple,Purple,Purple Wine,340.963283,247.5843712
8,1,168,81168,azul,Blue,синий,Blue,blau,Blue,bleu,Blue,藍色,Blue,blu,Blue,파랑,Blue,ミディアムブルー,Medium Blue,Neon Bright Blue,Blue,Medium Navy,258.9289364,181.6848232
84,17,1,84171,MARRÓN OSCURO,Dark Brown,умбра жжёная,Burnt Umber,dunkles rotbraun,Dark Reddish Brown,marron,Brown,褐色,Brown,marrone,Brown,갈색,Brown,茶色,Brown,Mahoganny Brown,Brown,Dark Leather,370.1806452,286.8384108
84,6,80,84680,color violeta oscuro,Dark Violet,сливовый,Plum,violett,Violet,violet,Purple,紫色,Purple,viola scuro,Purple,보라색,Purple,紫,Purple,Morning Glory Purple,Purple,Royal Purple,383.1806529,266.801276
86,16,3,86163,marron oscuro,Dark Brown,Коричневый,Brown,braun,Brown,rouge foncé,Dark Red,棕色,Brown,marone,Brown,갈색,Brown,茶色,Brown,Chestnut Brown,Maroon,Dark Leather,378.9336813,280.8192853
9,0,106,90106,Azul rey,Blue King,синий,Blue,Blau,Blue,bleu foncé,Dark Blue,海军,Navy,blu,Blue,청색,Blue,ネイビーブルー,Navy Blue,Deep Royal Blue,Navy Blue,Dark Blue,276.7731886,220.7801118
0,92,252,92252,azul,Blue,синий,Blue,stahlblau,Steel Blue,bleu,Blue,蓝色,Blue,blu,Blue,파랑색,Blue,あお,Blue,Swimming Pool Blue,Blue,Stunning Blue,141.2374366,135.6077187
92,5,52,92552,morado vino,Purple Wine,вино,Wine,dunkellila,Dark Purple,bordeaux,Burgundy,暗洋红色,Dark Magenta,marrone,Brown,진한피자주색,Dark purple blood,暗赤色,Dark red,Berry Berry Purple,Maroon,Eggplant,366.1292485,272.5846252
9,28,23,92823,Negro Noche,Black Night,чёрный,Black,schwarz,Black,noir,Black,黑色,Black,nero,Black,검은색,Black,黒,Black,Midnight Black,Black,Black,319.1280712,280.5498957
93,21,0,93210,cafe,Coffee,темно коричневый,Dark Brown,dunkelbraun,Dark Brown,marron chatain foncé,Dark Chestnut Brown,深棕色,Dark Brown,marrone,Brown,검은색,Black,紅,Crimson,Chocolate Brown,Brown,Dark Brown,388.0889036,288.8997797
93,41,5,93415,cafe oscuro,Dark Brown,коричневый,Brown,braun,Brown,MARRON FONCE,Dark Brown,棕色,Brown,marrone chiaro,Brown,갈색,Brown,茶色,Brown,Cinnamon Chocolate,Brown,Saddle Brown,383.7538311,301.3883332
94,0,51,94051,morado oscuro,Purple,светло-бордовый,Light Purple,brombeer-rot,Blackberry-Red,Prune,Plum,栗色,Maroon,viola,Violet,자주색,Purple,レッドワイン,Red wine,Dark Purplish Pink,Maroon,Burgandy,367.0266954,264.4262744
9,4,106,94106,azul,Blue,синий,Blue,Dunkles Mitternachtsblau,Dark Midnight Blue,bleu,Blue,蓝色,Blue,azzurro,Blue,파랑,Blue,くらい紺,Long navy blue,Deep Space Blue,Dark Blue,Dark Blue,283.228737,224.6050353
94,6,64,94664,lila en la noche,Lilac At Night,бордовый,Vinous,lila,Purple,violet,Purple,紫色,Purple,rosso scuro,Purple,보라색,Purple,ぶどう色,Budoiro,Midnight Satin Purple,Purple,Purple,362.1547619,252.7607235
95,75,2,95752,cafe,Coffee,коричневатый,Brownish,schokoladenbraun,Chocolate-Brown,kaki,Khaki,棕色,Brown,marone,Brown,밝은 갈색,Light brown,緑がかった茶,Greenish brown,Some Type Of Brown,Brownish Green,Brownish Green,363.8463991,312.5438948
96,6,60,96660,morado,Purple,фиолетовый,Violet,burgunder,Burgundy,PRUNE,Plum,褐色,Brown,verde,Seaweed Green,청색,Blue,深グリーン,Deep Green,Dark Navy Green,Navy,Midnight Blue,290.3511656,283.9079614
9,66,60,96660,morado,Purple,фиолетовый,Violet,burgunder,Burgundy,PRUNE,Plum,褐色,Brown,verde,Seaweed Green,청색,Blue,深グリーン,Deep Green,Purple Passion,Maroon,Deep Burgandy,366.7570841,245.5599137
9,69,60,96960,azul viejo,Old Blue,зеленый,Green,dunkelgrün,Dark Green,vert,Green,深绿,Dark Green,viola,If The Green,초록색,Green,くらいみどり,About green,Deep Aquamarine,Dark Green,Emerald Green,274.6006655,292.8035969
98,52,0,98520,cafe,Coffee,Коричневый,Brown,Dunkles Braun,Dark Brown,marron,Brown,棕色,Brown,marone,Brown,갈색,Brown,茶色,Brown,Chocolate Brown,Brown,Woodsy Brown,379.0545676,297.3761789
10,108,3,101083,verde,Green,зеленый,Green,Dunkles Grün,Dark Green,vert,Green,深綠色,Dark Green,verde,Green,녹색,Green,みどり,Green,Pool Table Green,Green,Forest Green,304.3576047,333.4398163
10,15,68,101568,azul marino,Navy Blue,темный синий,Dark Blue,dunkelblau,Dark Blue,bleu nuit mat,Midnight Blue Mat,午夜蓝,Midnight Blue,blu,Navy Blue,푸른,Blue,すごくダーク青,Very dark blue,Dark Navy Blue,Navy Blue,Navy Blue,290.0594661,267.126596
101,7,64,101764,elegante,Elegant,бордовый,Vinous,weinrot,Burgundy,Pourpre (héraldique),Purple (Heraldry),暗紫色,Dark Purple,viola scuro,Dark Purple,진한 자주색,Deep Purple,濃紫,Deep purple,Electric Indigo,Plum,Deep Burgandy,369.1785131,250.5251169
0,103,132,103132,azul Marino,Navy Blue,син,Blue,matt blau,Matt Blue,bleu,Blue,深灰蓝色,Dark Gray Blue,blu chiaro,Light Blue,푸른색,Blue,青,Blue,Dark Turquoise,Teal,Teal Blue,225.1579926,262.973517
103,99,0,103990,verde aceituna quemado,Burned Olive Green,зеленовато-коричневый,Greenish-Brown,schlammgrün,Green Mud,vert,Green,绿色,Green,nero,Green,카키색,Khaki color,茶,Brown,Deep Olive Green,Green Brown,Green Brown,346.306383,319.6288544
10,43,88,104388,azul,Blue,темно-синий,Dark Blue,blau,Blue,bleu marine,Navy Blue,深藍色,Navy Blue,blu,Blue,파란색,Blue,青,Blue,Dark Navy Blue,Navy,Dark Blue,269.1354924,252.5148768
10,58,64,105864,azul fuerte,Deep Blue,зеленый,Green,blaugrün,Blue-Green,bleu foncé,Dark Blue,军绿色,Army Green,Verde scuro,Dark Green,찐 청록,Steamed green,深緑,Dark green,Dark Blue Teal,Midnight Blue,Midnight Blue,283.9241417,282.4142622
10,67,28,106728,verde,Green,Зелёный,Green,tiefgrün,Deep Green,vert,Green,暗綠色,Dark Green,verde,Green,진한녹색,Dark green,緑,Green,Dark Forest Green,Dark Green,Forest Green,235.2483716,279.4071597
